CAS Number,Name,Formula,Type,UNIFAC,MW,SG6060,TB,Tc,Pc,Vc,OMEGA,CPA,CPB,CPC,CPD,CPE,HFORM25,GFORM25,GIBBSA,GIBBSB,GIBBSC
100-00-5,pNitroClBZ,C6H4ClNO2    ,Misc,(ACH)4 ACCL ACNO2 ,157.5540009,1.3606,515.150,750.000,39.700,0.432,0.4874,0.00968011,0.00362058,-2.60365E-06,7.20856E-10,-2.94688E-14,37.20,139.00,3.71E+01,3.36E-01,2.02E-05
100-01-6,p-NitAniline,C6H6N2O2     ,Misc,(ACH)4 ACNH2 ACNO2 ,138.1260071,1.1491,609.150,851.000,44.200,0.406,0.7824,59.986,-0.0006714,-2.3842E-06,-5.5881E-09,3.638E-12,59.50,192.00,,,
1000-86-8,24-M-13-C5==,C7H12        ,OD,(CH3)3 CH2=C CH=C ,96.17250061,0.7400,361.250,489.260,29.385,0.390,0.7953,-0.0044646,0.0056886,-2.07041E-06,0,0,35.26,,3.48E+01,4.05E-01,3.98E-05
100-10-7,p-DiMAmBZald,C9H11NO      ,Misc,CH3 (AC)2 (ACH)4 CHO CH3N ,149.1920013,1.0964,588.000,832.000,30.700,0.471,0.5272,-0.43889,0.0064748,-4.4178E-06,1.219E-09,-7.371E-14,-27.90,131.00,-2.93E+01,5.27E-01,3.46E-05
100-18-5,14-iP-BZ,C12H18       ,A,(ACH)4 (ACCH)2 (CH3)4 ,162.2740021,0.8606,483.648,689.000,24.500,0.598,0.3900,-0.447538,0.00764996,-6.21963E-06,2.71716E-09,-5.0063E-13,-76.51,147.80,-7.65E+01,7.52E-01,-7.22E-08
100-21-0,T-PhthalAcid,C8H6O4       ,Misc,(ACH)4 (AC)2 (COOH)2 ,166.1320038,0.8555,1040.000,1390.000,39.500,0.424,1.0924,-0.32185,0.00433384,-2.77672E-06,6.3668E-10,0,-717.88,-599.00,-7.17E+02,4.83E-01,5.05E-05
10022-50-1,nitrogen dioxyﬂuoride,FNO2,MISC,,65.004,,200.750,349.300,82.000,0.000,0.0000,0.207197711,0.002670932,-3.21284E-06,2.02849E-09,-5.37179E-13,-108.78,-66.55,,,
10024-97-2,N2O,N2O          ,MISC,,44.01300049,0.8176,184.699,309.600,72.400,0.097,0.1650,0.49153,0.001655376,-1.31356E-06,4.16036E-10,0,81.60,104.18,8.21E+01,7.41E-02,0.00E+00
100-25-4,14-NitroBZ,C6H4N2O4     ,MISC,(ACNO2)2 (ACH)4 ,168.1080017,1.3154,572.000,802.999,38.500,0.434,0.6861,-0.0665641,0.00377208,-2.51955E-06,5.9722E-10,1.47319E-20,-38.60,,-3.85E+01,7.11E-01,0.00E+00
10025-78-2,TriClSilane,Cl3HSi       ,Misc,,135.4519958,1.3556,305.000,479.000,41.700,0.268,0.2031,0.17604,0.00189722,-2.5995E-06,1.66664E-09,-4.02435E-13,-496.22,,-4.96E+02,1.05E-01,0.00E+00
